SEGMENT,Ln,Field Label,From,To,Size,Type,Description (Remarks)
,6,Source of Payment 6,631,631,1,A/N,Type of Insurance
,,Claim Filing Indicator Code 6,632,633,2,A/N,Type of Insurance; X-12 codes
,,Filler,634,652,19,A/N,
,,Payer ID Number 6,653,660,8,A/N,NIAC ID Number for Insurance Company
,,Covered Days 6,661,664,4,NUM,Days Covered by Insurance
,,Non-Covered Days 6,665,668,4,NUM,Days Not Covered by Insurance
,,Billing Provider NPI 6,669,681,13,A/N,Insurance Company's ID for Facility
,,Alternate Level of Care Days 6,682,685,4,NUM,Alternate Care Days
,,Leave of Absence (LOA) Days 6,686,689,4,NUM,Leave of Absence Days
,1,Expected Principal Reimbursement,690,691,2,A/N,Primary Reimbursement
,2,Expected Principal Reimbursement Other 1,692,693,2,A/N,Other Reimbursement 1
,3,Expected Principal Reimbursement Other 2,694,695,2,A/N,Other Reimbursement 2
,,Worker's Compensation/No Fault Indicator,696,697,2,A/N,WC/NF Indicator
,,Worker's Compensation/No Fault Amount,698,706,9,NUM,WC/NF Amount
,,Surplus Catastrophic or Recurring Monthly Income Code,707,707,1,A/N,Medicaid Income Code
,,Surplus Catastrophic or Recurring Monthly Amount,708,716,9,NUM,Medicaid Income Amount
Data Collection Segment,,Log Number,717,722,6,NUM,Log Number
,,Transaction Code,723,723,1,A/N,Transaction Code
,,Date Processed,724,731,8,A/N,Processed Date (YYYYMMDD)
,,SPARCS Collector Code,732,734,3,NUM,Data Collector
,,Claim Type,735,735,1,A/N,"Claim Type (I, A, E or O)"
,,Source File Type,736,736,1,NUM,File Type(Complete/Incomplete)
Miscellaneous Segment,,Residence Indicator,737,737,1,A/N,Residence Indicator
,,Special Program (DIS),738,738,1,A/N,Special Program; Disability (DIS)
,,Special Program (FP),739,739,1,A/N,Special Program; Family Planning (FP)
,,Special Program (PHC),740,740,1,A/N,Special Program; Physical Handicapped Children's Program (PHC)
,,Special Program (SFP),741,741,1,A/N,Special Program; Special Federal Funding (SFP)
,1,Old SPARCS Accommodation Codes 1,742,745,4,A/N,Old SPARCS Accommodation Codes
,2,Old SPARCS Accommodation Codes 2,746,749,4,A/N,Old SPARCS Accommodation Codes
,3,Old SPARCS Accommodation Codes 3,750,753,4,A/N,Old SPARCS Accommodation Codes
,4,Old SPARCS Accommodation Codes 4,754,757,4,A/N,Old SPARCS Accommodation Codes
,5,Old SPARCS Accommodation Codes 5,758,761,4,A/N,Old SPARCS Accommodation Codes
,,Bed Placement Indicator,762,764,3,A/N,Bed Placement Indicator
,,DNR Indicator,765,765,1,A/N,DNR Indicator
,,ED Indicator,766,766,1,A/N,ED Indicator
,,Exempt Unit Indicator,767,769,3,A/N,Exempt Unit Indicator
Treatment Segment,,Statement From Date,770,775,6,NUM,Claim From Date (YYYYMM)
,,Filler,776,777,2,A/N,
,,Statement Thru Date,778,783,6,NUM,Claim Through Date (YYYYMM)
,,Filler,784,785,2,A/N,
,,Admission Date,786,791,6,NUM,Date of Admission (YYYYMM)
,,Filler,792,793,2,A/N,
,,Admit Weekday,794,796,3,A/N,Admit Day-of-Week
,,Admission Hour,797,798,2,NUM,Hour of Admission
,,Unscheduled/Scheduled Admission ,799,799,1,A/N,Scheduled Admit Indicator
,,Dischage Date,800,805,6,NUM,Date of Discharge (YYYYMM)
,,Filler,806,807,2,A/N,
,,Discharge Weekday,808,810,3,A/N,Discharge Day-of-Week
,,Discharge Hour,811,812,2,NUM,Hour of Discharge
,,Length of Stay,813,816,4,NUM,Calculated Length of Stay
,,Insured Days,817,820,4,NUM,Covered Days
,,Non- Insured Days,821,824,4,NUM,Non-Covered Days
,,Total Leave of Absence Days,825,828,4,NUM,Total Leave of Absence Days
,,Total Alternate Care Days,829,832,4,NUM,Alternate Care Days
,,Type of Alternate Care required,833,833,1,A/N,Alternate Care Type
,,Date Alternate Care Required,834,839,6,NUM,Alternate Care Date (YYYYMM)
,,Filler,840,841,2,A/N,
,,Total Acute Certified Days,842,845,4,NUM,Acute Certified Days
,1,Non-Acute Care Type 1,846,847,2,A/N,Non-Acute Care Type
,,Non-Acute  From Date 1,848,853,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,854,855,2,A/N,
,,Non-Acute  Thru Date 1,856,861,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,862,863,2,A/N,
,2,Non-Acute Care Type 2,864,865,2,A/N,Non-Acute Care Type
,,Non-Acute  From Date 2,866,871,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,872,873,2,A/N,
,,Non-Acute  Thru Date 2,874,879,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,880,881,2,A/N,
,3,Non-Acute Care Type 3,882,883,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 3,884,889,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,890,891,2,A/N,
,,Non-Acute  Thru Date 3,892,897,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,898,899,2,A/N,
,4,Non-Acute Care Type 4,900,901,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 4,902,907,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,908,909,2,A/N,
,,Non-Acute  Thru Date 4,910,915,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,916,917,2,A/N,
,5,Non-Acute Care Type 5,918,919,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 5,920,925,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,926,927,2,A/N,
,,Non-Acute  Thru Date 5,928,933,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,934,935,2,A/N,
,6,Non-Acute Care Type 6,936,937,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 6,938,943,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,944,945,2,A/N,
,,Non-Acute  Thru Date 6,946,951,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,952,953,2,A/N,
,7,Non-Acute Care Type 7,954,955,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 7,956,961,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,962,963,2,A/N,
,,Non-Acute  Thru Date 7,964,969,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,970,971,2,A/N,
,8,Non-Acute Care Type 8,972,973,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 8,974,979,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,980,981,2,A/N,
,,Non-Acute  Thru Date 8,982,987,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,988,989,2,A/N,
,9,Non-Acute Care Type 9,990,991,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 9,992,997,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,998,999,2,A/N,
,,Non-Acute  Thru Date 9,1000,1005,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1006,1007,2,A/N,
,10,Non-Acute Care Type 10,1008,1009,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 10,1010,1015,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1016,1017,2,A/N,
,,Non-Acute  Thru Date 10,1018,1023,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1024,1025,2,A/N,
,11,Non-Acute Care Type 11,1026,1027,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 11,1028,1033,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1034,1035,2,A/N,
,,Non-Acute  Thru Date 11,1036,1041,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1042,1043,2,A/N,
,12,Non-Acute Care Type 12,1044,1045,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 12,1046,1051,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1052,1053,2,A/N,
,,Non-Acute  Thru Date 12,1054,1059,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1060,1061,2,A/N,
,13,Non-Acute Care Type 13,1062,1063,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 13,1064,1069,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1070,1071,2,A/N,
,,Non-Acute  Thru Date 13,1072,1077,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1078,1079,2,A/N,
,14,Non-Acute Care Type 14,1080,1081,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 14,1082,1087,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1088,1089,2,A/N,
,,Non-Acute  Thru Date 14,1090,1095,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1096,1097,2,A/N,
,15,Non-Acute Care Type 15,1098,1099,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 15,1100,1105,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1106,1107,2,A/N,
,,Non-Acute  Thru Date 15,1108,1113,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1114,1115,2,A/N,
,16,Non-Acute Care Type 16,1116,1117,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 16,1118,1123,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1124,1125,2,A/N,
,,Non-Acute  Thru Date 16,1126,1131,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1132,1133,2,A/N,
,17,Non-Acute Care Type 17,1134,1135,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 17,1136,1141,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1142,1143,2,A/N,
,,Non-Acute  Thru Date 17,1144,1149,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1150,1151,2,A/N,
,18,Non-Acute Care Type 18,1152,1153,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 18,1154,1159,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1160,1161,2,A/N,
,,Non-Acute  Thru Date 18,1162,1167,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1168,1169,2,A/N,
,19,Non-Acute Care Type 19,1170,1171,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 19,1172,1177,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1178,1179,2,A/N,
,,Non-Acute  Thru Date 19,1180,1185,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1186,1187,2,A/N,
,20,Non-Acute Care Type 20,1188,1189,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 20,1190,1195,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1196,1197,2,A/N,
,,Non-Acute  Thru Date 20,1198,1203,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1204,1205,2,A/N,
,21,Non-Acute Care Type 21,1206,1207,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 21,1208,1213,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1214,1215,2,A/N,
,,Non-Acute  Thru Date 21,1216,1221,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1222,1223,2,A/N,
,22,Non-Acute Care Type 22,1224,1225,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 22,1226,1231,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1232,1233,2,A/N,
,,Non-Acute  Thru Date 22,1234,1239,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1240,1241,2,A/N,
,23,Non-Acute Care Type 23,1242,1243,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 23,1244,1249,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1250,1251,2,A/N,
,,Non-Acute  Thru Date 23,1252,1257,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1258,1259,2,A/N,
,24,Non-Acute Care Type 24,1260,1261,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 24,1262,1267,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1268,1269,2,A/N,
,,Non-Acute  Thru Date 24,1270,1275,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1276,1277,2,A/N,
,25,Non-Acute Care Type 25,1278,1279,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 25,1280,1285,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1286,1287,2,A/N,
,,Non-Acute  Thru Date 25,1288,1293,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1294,1295,2,A/N,
,26,Non-Acute Care Type 26,1296,1297,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 26,1298,1303,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1304,1305,2,A/N,
,,Non-Acute  Thru Date 26,1306,1311,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1312,1313,2,A/N,
,27,Non-Acute Care Type 27,1314,1315,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 27,1316,1321,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1322,1323,2,A/N,
,,Non-Acute  Thru Date 27,1324,1329,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1330,1331,2,A/N,
,28,Non-Acute Care Type 28,1332,1333,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 28,1334,1339,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1340,1341,2,A/N,
,,Non-Acute  Thru Date 28,1342,1347,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1348,1349,2,A/N,
,29,Non-Acute Care Type 29,1350,1351,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 29,1352,1357,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1358,1359,2,A/N,
,,Non-Acute  Thru Date 29,1360,1365,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1366,1367,2,A/N,
,30,Non-Acute Care Type 30,1368,1369,2,A/N,Type of Non-Acute Care
,,Non-Acute  From Date 30,1370,1375,6,NUM,Date Non-Acute Care Began (YYYYMM)
,,Filler,1376,1377,2,A/N,
,,Non-Acute  Thru Date 30,1378,1383,6,NUM,Date Non-Acute Care Ended (YYYYMM)
,,Filler,1384,1385,2,A/N,
,,Same-day Discharge Indicator,1386,1386,1,A/N,Same-day Discharge Indicator
,,Patient Status,1387,1388,2,A/N,Discharge Disposition
,,Type of Bill,1389,1391,3,A/N,Type of Bill
,,Service Category Group,1392,1392,1,A/N,Service Class
,,Type of Admission,1393,1393,1,A/N,Type of Admission
,,Point of Origin,1394,1394,1,A/N,Source of Admission
Diagnosis Segment,,Admitting Diagnosis Code,1395,1401,7,A/N,Diagnosis Code at Admission
,,Principal Diagnosis Code,1402,1408,7,A/N,Principal Diagnosis
,,Filler,1409,1409,1,A/N,
,1,Other Diagnosis Code 1,1410,1416,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 1,1417,1417,1,A/N,Present on admission 
,2,Other Diagnosis Code 2,1418,1424,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 2,1425,1425,1,A/N,Present on admission 
,3,Other Diagnosis Code 3,1426,1432,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 3,1433,1433,1,A/N,Present on admission 
,4,Other Diagnosis Code 4,1434,1440,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 4,1441,1441,1,A/N,Present on admission 
,5,Other Diagnosis Code 5,1442,1448,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 5,1449,1449,1,A/N,Present on admission 
,6,Other Diagnosis Code 6,1450,1456,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 6,1457,1457,1,A/N,Present on admission 
,7,Other Diagnosis Code 7,1458,1464,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 7,1465,1465,1,A/N,Present on admission 
,8,Other Diagnosis Code 8,1466,1472,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 8,1473,1473,1,A/N,Present on admission 
,9,Other Diagnosis Code 9,1474,1480,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 9,1481,1481,1,A/N,Present on admission 
,10,Other Diagnosis Code 10,1482,1488,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 10,1489,1489,1,A/N,Present on admission 
,11,Other Diagnosis Code 11,1490,1496,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 11,1497,1497,1,A/N,Present on admission 
,12,Other Diagnosis Code 12,1498,1504,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 12,1505,1505,1,A/N,Present on admission 
,13,Other Diagnosis Code 13,1506,1512,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 13,1513,1513,1,A/N,Present on admission 
,14,Other Diagnosis Code 14,1514,1520,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 14,1521,1521,1,A/N,Present on admission 
,15,Other Diagnosis Code 15,1522,1528,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 15,1529,1529,1,A/N,Present on admission 
,16,Other Diagnosis Code 16,1530,1536,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 16,1537,1537,1,A/N,Present on admission 
,17,Other Diagnosis Code 17,1538,1544,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 17,1545,1545,1,A/N,Present on admission 
,18,Other Diagnosis Code 18,1546,1552,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 18,1553,1553,1,A/N,Present on admission 
,19,Other Diagnosis Code 19,1554,1560,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 19,1561,1561,1,A/N,Present on admission 
,20,Other Diagnosis Code 20,1562,1568,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 20,1569,1569,1,A/N,Present on admission 
,21,Other Diagnosis Code 21,1570,1576,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 21,1577,1577,1,A/N,Present on admission 
,22,Other Diagnosis Code 22,1578,1584,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 22,1585,1585,1,A/N,Present on admission 
,23,Other Diagnosis Code 23,1586,1592,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 23,1593,1593,1,A/N,Present on admission 
,24,Other Diagnosis Code 24,1594,1600,7,A/N,Other Diagnosis 
,,Present on Admission Indicator 24,1601,1601,1,A/N,Present on admission 
,,Clinical Classification Software (CCS) Diagnosis Category,1602,1604,3,A/N,CCS Diagnosis Category
,1,After Anesthesia Indicator 1,1605,1605,1,A/N,Diagnosis Occurred After Anesthesia Indicator
,2,After Anesthesia Indicator 2,1606,1606,1,A/N,Diagnosis Occurred After Anesthesia Indicator
,3,After Anesthesia Indicator 3,1607,1607,1,A/N,Diagnosis Occurred After Anesthesia Indicator
,4,After Anesthesia Indicator 4,1608,1608,1,A/N,Diagnosis Occurred After Anesthesia Indicator
,5,After Anesthesia Indicator 5,1609,1609,1,A/N,Diagnosis Occurred After Anesthesia Indicator
,6,After Anesthesia Indicator 6,1610,1610,1,A/N,Diagnosis Occurred After Anesthesia Indicator
,7,After Anesthesia Indicator 7,1611,1611,1,A/N,Diagnosis Occurred After Anesthesia Indicator
,8,After Anesthesia Indicator 8,1612,1612,1,A/N,Diagnosis Occurred After Anesthesia Indicator
,9,After Anesthesia Indicator 9,1613,1613,1,A/N,Diagnosis Occurred After Anesthesia Indicator
,10,After Anesthesia Indicator 10,1614,1614,1,A/N,Diagnosis Occurred After Anesthesia Indicator
,11,After Anesthesia Indicator 11,1615,1615,1,A/N,Diagnosis Occurred After Anesthesia Indicator
,12,After Anesthesia Indicator 12,1616,1616,1,A/N,Diagnosis Occurred After Anesthesia Indicator
,13,After Anesthesia Indicator 13,1617,1617,1,A/N,Diagnosis Occurred After Anesthesia Indicator
,14,After Anesthesia Indicator 14,1618,1618,1,A/N,Diagnosis Occurred After Anesthesia Indicator
,,Accident Related Code,1619,1620,2,A/N,Accident Type Code
,,Accident Related Date,1621,1626,6,NUM,Accident Date (YYYYMM)
,,Filler,1627,1628,2,,
,,External Cause of Injury ,1629,1635,7,A/N,Cause of Injury E-Code
,,Place of Injury Code,1636,1642,7,A/N,Place of Injury E-Code
Procedure Segment,,Principal Procedure (ICD) Code,1643,1649,7,A/N,Principal Procedure
,,Principal Procedure (ICD) Date ,1650,1655,6,NUM,Date Procedure Occurred (YYYYMM)
,,Filler,1656,1657,2,,
,1,Pre-Admit Procedure Indicator 1,1658,1658,1,A/N,"Indicates if Procedure occurred before, on, or after Date of Admission"
,,Pre-Op Days 1,1659,1662,4,A/N,Number of days between Date of Admission and Procedure Date
,,Post-Op Days 1,1663,1666,4,A/N,Number of days between Date of Discharge and Procedure Date
,,Other Procedure  (ICD) Code 1,1667,1673,7,A/N,Other Procedure
,,Other Procedure  (ICD) Date 1,1674,1679,6,NUM,Date Procedure Occurred (YYYYMM)
,,Filler,1680,1681,2,,
,2,Pre-Admit Procedure Indicator 2,1682,1682,1,A/N,"Indicates if Procedure occurred before, on, or after Date of Admission"
,,Pre-Op Days 2,1683,1686,4,A/N,Number of days between Date of Admission and Procedure Date
,,Post-Op Days 2,1687,1690,4,A/N,Number of days between Date of Discharge and Procedure Date
,,Other Procedure  (ICD) Code 2,1691,1697,7,A/N,Other Procedure
,,Other Procedure  (ICD) Date 2,1698,1703,6,NUM,Date Procedure Occurred (YYYYMM)
,,Filler,1704,1705,2,,
,3,Pre-Admit Procedure Indicator 3,1706,1706,1,A/N,"Indicates if Procedure occurred before, on, or after Date of Admission"
,,Pre-Op Days 3,1707,1710,4,A/N,Number of days between Date of Admission and Procedure Date
,,Post-Op Days 3,1711,1714,4,A/N,Number of days between Date of Discharge and Procedure Date
,,Other Procedure  (ICD) Code 3,1715,1721,7,A/N,Other Procedure
,,Other Procedure  (ICD) Date 3,1722,1727,6,NUM,Date Procedure Occurred (YYYYMM)
,,Filler,1728,1729,2,,
,4,Pre-Admit Procedure Indicator 4,1730,1730,1,A/N,"Indicates if Procedure occurred before, on, or after Date of Admission"
,,Pre-Op Days 4,1731,1734,4,A/N,Number of days between Date of Admission and Procedure Date
,,Post-Op Days 4,1735,1738,4,A/N,Number of days between Date of Discharge and Procedure Date
,,Other Procedure  (ICD) Code 4,1739,1745,7,A/N,Other Procedure
,,Other Procedure  (ICD) Date 4,1746,1751,6,NUM,Date Procedure Occurred (YYYYMM)
,,Filler,1752,1753,2,,
