Class,Ln,Field Label,From,To,Size,Type,Description (Remarks)
,,Line Item APG Payment,167,174,8,NUM,Line Item APG Payment
,,Line Item Existing Payment,175,182,8,NUM,Line Item Existing Payment
,,Line Item Blended Payment,183,190,8,NUM,Line Item Blended Payment
,,Line Item Add-on Payment,191,198,8,NUM,Line Item Add-on Payment
,,Line Item Total Payment,199,206,8,NUM,Line Item Total Payment
,,Line Item Blend Percent,207,211,5,NUM,Line Item Blend Percent
,,Line Item Adjusted APG Weight,212,220,9,NUM,Line Item Adjusted APG Weight
,,Line Item Full APG Weight,221,229,9,NUM,Line Item Full APG Weight
,,Line Item Payment Percent,230,235,6,NUM,Line Item Payment Percent
,,Line Item Payment Action,236,237,2,A/N,Line Item Payment Action
,,Line Item Paid Units,238,244,7,A/N,Line Item Paid Units
,,Line Item Payment Adjustment Flag,245,246,2,A/N,Line Item Payment Adjustment Flag
,,Visit APG Payment,247,254,8,NUM,Visit APG Payment
,,Visit Transition APG Payment,255,262,8,NUM,Visit Transition APG Payment
,,Visit Existing Payment,263,270,8,NUM,Visit Existing Payment
,,Visit Blended Payment,271,278,8,NUM,Visit Blended Payment
,,Visit Add-on Payment,279,286,8,NUM,Visit Add-on Payment
,,Visit Payment,287,294,8,NUM,Visit Payment
,,Visit Non-transition Payment,295,302,8,NUM,Visit Non-transition Payment
,,Visit Adjusted APG Weight,303,311,9,NUM,Visit Adjusted APG Weight
,,Visit Full APG Weight,312,320,9,NUM,Visit Full APG Weight
"9, 20, 31, 42, 53, 64, 75, 86,",9,Revenue Code,321,324,4,A/N,NUBC Revenue Code
"97, 108, 119, 130, 141, 152,",,Type of Revenue Code,325,325,1,A/N,Revenue Type
"163, 174, 185, 196, 207, 218,",,Procedure Code; CPT-4/HCPC,326,330,5,A/N,CPT-4/HCPCS Code
"229, 240, 251, 262, 273, 284,",,Procedure Code Modifier 1,331,332,2,A/N,Code Modifier 1
"295, 306, 317, 328, 339, 350,",,Procedure Code Modifier 2,333,334,2,A/N,Code Modifier 2
"361, 372, 383, 394, 405, 416,",,Charge of Service,335,344,10,NUM,Total Charge 
"427, 438, 449, 460, 471, 482,",,Type of Unit,345,346,2,A/N,Unit Type
"493, 504, 515, 526, 537, 548,",,Quantity,347,354,8,NUM,Unit Quantity
"559, 570, 581, 592, 603, 614,",,Non-Covered Charge of Service,355,364,10,NUM,Non-covered Charge
"625, 636, 647, 658, 669, 680,",,Service From Date,365,370,6,A/N,Service From Date
"691, 702, 713, 724, 735, 746,",,Filler,371,372,2,A/N,
"757, 768, 779, 790, 801, 812,",,Pre-visit Procedure Indicator,373,373,1,A/N,"Indicates if Procedure occurred before, on, or after Date of Admission"
"823, 834, 845, 856, 867, 878,",R,Line item number,374,376,3,A/N,Line item number
"889, 900, 911, 922, 933, 944,",,Visit ID,377,379,3,A/N,Visit ID
"955, 966, 977, 988, 999",,Lines in Visit,380,382,3,A/N,Lines in Visit
,,Visit Date,383,388,6,A/N,Visit Date
,,Filler,389,390,2,A/N,
,,Visit Processed Flag,391,391,1,A/N,Visit Processed Flag
,,Visit Processed Warnings/ Messages,392,401,10,A/N,Visit Processed Warnings/ Messages
,,Overall Visit Type,402,403,2,A/N,Overall Visit Type
,,Medical Visit Diagnosis,404,410,7,A/N,Medical Visit Diagnosis
,S,Final APG Assignment,411,415,5,A/N,Final APG Assignment
,,Final APG Type,416,417,2,A/N,Final APG Type
,,Final APG Category,418,419,2,A/N,Final APG Category
,,Multiple Significant Procedure (SP) Discounting Flag,420,420,1,A/N,Multiple Significant Procedure (SP) Discounting Flag
,,Repeat Ancillary Discounting Flag,421,421,1,A/N,Repeat Ancillary Discounting Flag
,,Bilateral Discounting Flag,422,422,1,A/N,Bilateral Discounting Flag
,,Terminated Procedure Discounting Flag,423,423,1,A/N,Terminated Procedure Discounting Flag
,,Line Item Unassigned Flag,424,425,2,A/N,Line Item Unassigned Flag
,,Packaged Per Diem Flag,426,426,1,A/N,Packaged Per Diem Flag
,,Packaging Flag,427,427,1,A/N,Packaging Flag
,,Same Significant Procedure (SP) Consolidation Flag,428,428,1,A/N,Same Significant Procedure (SP) Consolidation Flag
,,Clinical Significant Procedure (SP) Consolidation Flag,429,429,1,A/N,Clinical Significant Procedure (SP) Consolidation Flag
,,Line Item Action Flag,430,431,2,A/N,Line Item Action Flag
,Y,Item ID number,432,434,3,A/N,Item ID number
,,Line Item APG Payment,435,442,8,NUM,Line Item APG Payment
,,Line Item Existing Payment,443,450,8,NUM,Line Item Existing Payment
,,Line Item Blended Payment,451,458,8,NUM,Line Item Blended Payment
,,Line Item Add-on Payment,459,466,8,NUM,Line Item Add-on Payment
,,Line Item Total Payment,467,474,8,NUM,Line Item Total Payment
,,Line Item Blend Percent,475,479,5,NUM,Line Item Blend Percent
,,Line Item Adjusted APG Weight,480,488,9,NUM,Line Item Adjusted APG Weight
,,Line Item Full APG Weight,489,497,9,NUM,Line Item Full APG Weight
,,Line Item Payment Percent,498,503,6,NUM,Line Item Payment Percent
,,Line Item Payment Action,504,505,2,A/N,Line Item Payment Action
,,Line Item Paid Units,506,512,7,A/N,Line Item Paid Units
,,Line Item Payment Adjustment Flag,513,514,2,A/N,Line Item Payment Adjustment Flag
,,Visit APG Payment,515,522,8,NUM,Visit APG Payment
,,Visit Transition APG Payment,523,530,8,NUM,Visit Transition APG Payment
,,Visit Existing Payment,531,538,8,NUM,Visit Existing Payment
,,Visit Blended Payment,539,546,8,NUM,Visit Blended Payment
,,Visit Add-on Payment,547,554,8,NUM,Visit Add-on Payment
,,Visit Payment,555,562,8,NUM,Visit Payment
,,Visit Non-transition Payment,563,570,8,NUM,Visit Non-transition Payment
,,Visit Adjusted APG Weight,571,579,9,NUM,Visit Adjusted APG Weight
,,Visit Full APG Weight,580,588,9,NUM,Visit Full APG Weight
"10, 21, 32, 43, 54, 65, 76, 87,",10,Revenue Code,589,592,4,A/N,NUBC Revenue Code
"98, 109, 120, 131, 142, 153,",,Type of Revenue Code,593,593,1,A/N,Revenue Type
"164, 175, 186, 197, 208, 219,",,Procedure Code; CPT-4/HCPC,594,598,5,A/N,CPT-4/HCPCS Code
"230, 241, 252, 263, 274, 285,",,Procedure Code Modifier 1,599,600,2,A/N,Code Modifier 1
"296, 307, 318, 329, 340, 351,",,Procedure Code Modifier 2,601,602,2,A/N,Code Modifier 2
"362, 373, 384, 395, 406, 417,",,Charge of Service,603,612,10,NUM,Total Charge 
"428, 439, 450, 461, 472, 483,",,Type of Unit,613,614,2,A/N,Unit Type
"494, 505, 516, 527, 538, 549,",,Quantity,615,622,8,NUM,Unit Quantity
"560, 571, 582, 593, 604, 615,",,Non-Covered Charge of Service,623,632,10,NUM,Non-covered Charge
"626, 637, 648, 659, 670, 681,",,Service From Date,633,638,6,A/N,Service From Date
"692, 703, 714, 725, 736, 747,",,Filler,639,640,2,A/N,
"758, 769, 780, 791, 802, 813,",,Pre-visit Procedure Indicator,641,641,1,A/N,"Indicates if Procedure occurred before, on, or after Date of Admission"
"824, 835, 846, 857, 868, 879,",R,Line item number,642,644,3,A/N,Line item number
"890, 901, 912, 923, 934, 945,",,Visit ID,645,647,3,A/N,Visit ID
"956, 967, 978, 989",,Lines in Visit,648,650,3,A/N,Lines in Visit
,,Visit Date,651,656,6,A/N,Visit Date
,,Filler,657,658,2,A/N,
,,Visit Processed Flag,659,659,1,A/N,Visit Processed Flag
,,Visit Processed Warnings/ Messages,660,669,10,A/N,Visit Processed Warnings/ Messages
,,Overall Visit Type,670,671,2,A/N,Overall Visit Type
,,Medical Visit Diagnosis,672,678,7,A/N,Medical Visit Diagnosis
,S,Final APG Assignment,679,683,5,A/N,Final APG Assignment
,,Final APG Type,684,685,2,A/N,Final APG Type
,,Final APG Category,686,687,2,A/N,Final APG Category
,,Multiple Significant Procedure (SP) Discounting Flag,688,688,1,A/N,Multiple Significant Procedure (SP) Discounting Flag
,,Repeat Ancillary Discounting Flag,689,689,1,A/N,Repeat Ancillary Discounting Flag
,,Bilateral Discounting Flag,690,690,1,A/N,Bilateral Discounting Flag
,,Terminated Procedure Discounting Flag,691,691,1,A/N,Terminated Procedure Discounting Flag
,,Line Item Unassigned Flag,692,693,2,A/N,Line Item Unassigned Flag
,,Packaged Per Diem Flag,694,694,1,A/N,Packaged Per Diem Flag
,,Packaging Flag,695,695,1,A/N,Packaging Flag
,,Same Significant Procedure (SP) Consolidation Flag,696,696,1,A/N,Same Significant Procedure (SP) Consolidation Flag
,,Clinical Significant Procedure (SP) Consolidation Flag,697,697,1,A/N,Clinical Significant Procedure (SP) Consolidation Flag
,,Line Item Action Flag,698,699,2,A/N,Line Item Action Flag
,Y,Item ID number,700,702,3,A/N,Item ID number
,,Line Item APG Payment,703,710,8,NUM,Line Item APG Payment
,,Line Item Existing Payment,711,718,8,NUM,Line Item Existing Payment
,,Line Item Blended Payment,719,726,8,NUM,Line Item Blended Payment
,,Line Item Add-on Payment,727,734,8,NUM,Line Item Add-on Payment
,,Line Item Total Payment,735,742,8,NUM,Line Item Total Payment
,,Line Item Blend Percent,743,747,5,NUM,Line Item Blend Percent
,,Line Item Adjusted APG Weight,748,756,9,NUM,Line Item Adjusted APG Weight
,,Line Item Full APG Weight,757,765,9,NUM,Line Item Full APG Weight
,,Line Item Payment Percent,766,771,6,NUM,Line Item Payment Percent
,,Line Item Payment Action,772,773,2,A/N,Line Item Payment Action
,,Line Item Paid Units,774,780,7,A/N,Line Item Paid Units
,,Line Item Payment Adjustment Flag,781,782,2,A/N,Line Item Payment Adjustment Flag
,,Visit APG Payment,783,790,8,NUM,Visit APG Payment
,,Visit Transition APG Payment,791,798,8,NUM,Visit Transition APG Payment
,,Visit Existing Payment,799,806,8,NUM,Visit Existing Payment
,,Visit Blended Payment,807,814,8,NUM,Visit Blended Payment
,,Visit Add-on Payment,815,822,8,NUM,Visit Add-on Payment
,,Visit Payment,823,830,8,NUM,Visit Payment
,,Visit Non-transition Payment,831,838,8,NUM,Visit Non-transition Payment
,,Visit Adjusted APG Weight,839,847,9,NUM,Visit Adjusted APG Weight
,,Visit Full APG Weight,848,856,9,NUM,Visit Full APG Weight
"11, 22, 33, 44, 55, 66, 77, 88,",11,Revenue Code,857,860,4,A/N,NUBC Revenue Code
"99, 110, 121, 132, 143, 154,",,Type of Revenue Code,861,861,1,A/N,Revenue Type
"165, 176, 187, 198, 209, 220,",,Procedure Code; CPT-4/HCPC,862,866,5,A/N,CPT-4/HCPCS Code
"231, 242, 253, 264, 275, 286,",,Procedure Code Modifier 1,867,868,2,A/N,Code Modifier 1
"297, 308, 319, 330, 341, 352,",,Procedure Code Modifier 2,869,870,2,A/N,Code Modifier 2
"363, 374, 385, 396, 407, 418,",,Charge of Service,871,880,10,NUM,Total Charge 
"429, 440, 451, 462, 473, 484,",,Type of Unit,881,882,2,A/N,Unit Type
"495, 506, 517, 528, 539, 550,",,Quantity,883,890,8,NUM,Unit Quantity
"561, 572, 583, 594, 605, 616,",,Non-Covered Charge of Service,891,900,10,NUM,Non-covered Charge
"627, 638, 649, 660, 671, 682,",,Service From Date,901,906,6,A/N,Service From Date
"693, 704, 715, 726, 737, 748,",,Filler,907,908,2,A/N,
"759, 770, 781, 792, 803, 814,",,Pre-visit Procedure Indicator,909,909,1,A/N,"Indicates if Procedure occurred before, on, or after Date of Admission"
"825, 836, 847, 858, 869, 880,",R,Line item number,910,912,3,A/N,Line item number
"891, 902, 913, 924, 935, 946,",,Visit ID,913,915,3,A/N,Visit ID
"957, 968, 979, 990",,Lines in Visit,916,918,3,A/N,Lines in Visit
,,Visit Date,919,924,6,A/N,Visit Date
,,Filler,925,926,2,A/N,
,,Visit Processed Flag,927,927,1,A/N,Visit Processed Flag
,,Visit Processed Warnings/ Messages,928,937,10,A/N,Visit Processed Warnings/ Messages
,,Overall Visit Type,938,939,2,A/N,Overall Visit Type
,,Medical Visit Diagnosis,940,946,7,A/N,Medical Visit Diagnosis
,S,Final APG Assignment,947,951,5,A/N,Final APG Assignment
,,Final APG Type,952,953,2,A/N,Final APG Type
,,Final APG Category,954,955,2,A/N,Final APG Category
,,Multiple Significant Procedure (SP) Discounting Flag,956,956,1,A/N,Multiple Significant Procedure (SP) Discounting Flag
,,Repeat Ancillary Discounting Flag,957,957,1,A/N,Repeat Ancillary Discounting Flag
,,Bilateral Discounting Flag,958,958,1,A/N,Bilateral Discounting Flag
,,Terminated Procedure Discounting Flag,959,959,1,A/N,Terminated Procedure Discounting Flag
,,Line Item Unassigned Flag,960,961,2,A/N,Line Item Unassigned Flag
,,Packaged Per Diem Flag,962,962,1,A/N,Packaged Per Diem Flag
,,Packaging Flag,963,963,1,A/N,Packaging Flag
,,Same Significant Procedure (SP) Consolidation Flag,964,964,1,A/N,Same Significant Procedure (SP) Consolidation Flag
,,Clinical Significant Procedure (SP) Consolidation Flag,965,965,1,A/N,Clinical Significant Procedure (SP) Consolidation Flag
,,Line Item Action Flag,966,967,2,A/N,Line Item Action Flag
,Y,Item ID number,968,970,3,A/N,Item ID number
,,Line Item APG Payment,971,978,8,NUM,Line Item APG Payment
,,Line Item Existing Payment,979,986,8,NUM,Line Item Existing Payment
,,Line Item Blended Payment,987,994,8,NUM,Line Item Blended Payment
,,Line Item Add-on Payment,995,1002,8,NUM,Line Item Add-on Payment
,,Line Item Total Payment,1003,1010,8,NUM,Line Item Total Payment
,,Line Item Blend Percent,1011,1015,5,NUM,Line Item Blend Percent
,,Line Item Adjusted APG Weight,1016,1024,9,NUM,Line Item Adjusted APG Weight
,,Line Item Full APG Weight,1025,1033,9,NUM,Line Item Full APG Weight
,,Line Item Payment Percent,1034,1039,6,NUM,Line Item Payment Percent
,,Line Item Payment Action,1040,1041,2,A/N,Line Item Payment Action
,,Line Item Paid Units,1042,1048,7,A/N,Line Item Paid Units
,,Line Item Payment Adjustment Flag,1049,1050,2,A/N,Line Item Payment Adjustment Flag
,,Visit APG Payment,1051,1058,8,NUM,Visit APG Payment
,,Visit Transition APG Payment,1059,1066,8,NUM,Visit Transition APG Payment
,,Visit Existing Payment,1067,1074,8,NUM,Visit Existing Payment
,,Visit Blended Payment,1075,1082,8,NUM,Visit Blended Payment
,,Visit Add-on Payment,1083,1090,8,NUM,Visit Add-on Payment
,,Visit Payment,1091,1098,8,NUM,Visit Payment
,,Visit Non-transition Payment,1099,1106,8,NUM,Visit Non-transition Payment
,,Visit Adjusted APG Weight,1107,1115,9,NUM,Visit Adjusted APG Weight
,,Visit Full APG Weight,1116,1124,9,NUM,Visit Full APG Weight
"12, 23, 34, 45, 56, 67, 78, 89,",12,Revenue Code,1125,1128,4,A/N,NUBC Revenue Code
"100, 111, 122, 133, 144, 155,",,Type of Revenue Code,1129,1129,1,A/N,Revenue Type
"166, 177, 188, 199, 210, 221,",,Procedure Code; CPT-4/HCPC,1130,1134,5,A/N,CPT-4/HCPCS Code
"232, 243, 254, 265, 276, 287,",,Procedure Code Modifier 1,1135,1136,2,A/N,Code Modifier 1
"298, 308, 320, 331, 342, 353,",,Procedure Code Modifier 2,1137,1138,2,A/N,Code Modifier 2
"364, 375, 386, 397, 408, 419,",,Charge of Service,1139,1148,10,NUM,Total Charge 
"430, 441, 452, 463, 474, 485,",,Type of Unit,1149,1150,2,A/N,Unit Type
"496, 507, 518, 529, 540, 551,",,Quantity,1151,1158,8,NUM,Unit Quantity
"562, 573, 584, 595, 606, 617,",,Non-Covered Charge of Service,1159,1168,10,NUM,Non-covered Charge
"628, 639, 650, 661, 672, 683,",,Service From Date,1169,1174,6,A/N,Service From Date
"694, 705, 716, 727, 738, 749,",,Filler,1175,1176,2,A/N,
"760, 771, 782, 793, 804, 815,",,Pre-visit Procedure Indicator,1177,1177,1,A/N,"Indicates if Procedure occurred before, on, or after Date of Admission"
"826, 837, 848, 859, 870, 881,",R,Line item number,1178,1180,3,A/N,Line item number
"892, 903, 914, 925, 936, 947,",,Visit ID,1181,1183,3,A/N,Visit ID
"958, 969, 980, 991",,Lines in Visit,1184,1186,3,A/N,Lines in Visit
,,Visit Date,1187,1192,6,A/N,Visit Date
,,Filler,1193,1194,2,A/N,
,,Visit Processed Flag,1195,1195,1,A/N,Visit Processed Flag
,,Visit Processed Warnings/ Messages,1196,1205,10,A/N,Visit Processed Warnings/ Messages
,,Overall Visit Type,1206,1207,2,A/N,Overall Visit Type
,,Medical Visit Diagnosis,1208,1214,7,A/N,Medical Visit Diagnosis
,S,Final APG Assignment,1215,1219,5,A/N,Final APG Assignment
,,Final APG Type,1220,1221,2,A/N,Final APG Type
,,Final APG Category,1222,1223,2,A/N,Final APG Category
,,Multiple Significant Procedure (SP) Discounting Flag,1224,1224,1,A/N,Multiple Significant Procedure (SP) Discounting Flag
,,Repeat Ancillary Discounting Flag,1225,1225,1,A/N,Repeat Ancillary Discounting Flag
,,Bilateral Discounting Flag,1226,1226,1,A/N,Bilateral Discounting Flag
,,Terminated Procedure Discounting Flag,1227,1227,1,A/N,Terminated Procedure Discounting Flag
,,Line Item Unassigned Flag,1228,1229,2,A/N,Line Item Unassigned Flag
,,Packaged Per Diem Flag,1230,1230,1,A/N,Packaged Per Diem Flag
,,Packaging Flag,1231,1231,1,A/N,Packaging Flag
,,Same Significant Procedure (SP) Consolidation Flag,1232,1232,1,A/N,Same Significant Procedure (SP) Consolidation Flag
,,Clinical Significant Procedure (SP) Consolidation Flag,1233,1233,1,A/N,Clinical Significant Procedure (SP) Consolidation Flag
,,Line Item Action Flag,1234,1235,2,A/N,Line Item Action Flag
,Y,Item ID number,1236,1238,3,A/N,Item ID number
,,Line Item APG Payment,1239,1246,8,NUM,Line Item APG Payment
,,Line Item Existing Payment,1247,1254,8,NUM,Line Item Existing Payment
,,Line Item Blended Payment,1255,1262,8,NUM,Line Item Blended Payment
,,Line Item Add-on Payment,1263,1270,8,NUM,Line Item Add-on Payment
,,Line Item Total Payment,1271,1278,8,NUM,Line Item Total Payment
,,Line Item Blend Percent,1279,1283,5,NUM,Line Item Blend Percent
,,Line Item Adjusted APG Weight,1284,1292,9,NUM,Line Item Adjusted APG Weight
,,Line Item Full APG Weight,1293,1301,9,NUM,Line Item Full APG Weight
,,Line Item Payment Percent,1302,1307,6,NUM,Line Item Payment Percent
,,Line Item Payment Action,1308,1309,2,A/N,Line Item Payment Action
,,Line Item Paid Units,1310,1316,7,A/N,Line Item Paid Units
,,Line Item Payment Adjustment Flag,1317,1318,2,A/N,Line Item Payment Adjustment Flag
,,Visit APG Payment,1319,1326,8,NUM,Visit APG Payment
,,Visit Transition APG Payment,1327,1334,8,NUM,Visit Transition APG Payment
,,Visit Existing Payment,1335,1342,8,NUM,Visit Existing Payment
,,Visit Blended Payment,1343,1350,8,NUM,Visit Blended Payment
,,Visit Add-on Payment,1351,1358,8,NUM,Visit Add-on Payment
,,Visit Payment,1359,1366,8,NUM,Visit Payment
,,Visit Non-transition Payment,1367,1374,8,NUM,Visit Non-transition Payment
,,Visit Adjusted APG Weight,1375,1383,9,NUM,Visit Adjusted APG Weight
,,Visit Full APG Weight,1384,1392,9,NUM,Visit Full APG Weight
"13, 24, 35, 46, 57, 68, 79, 90,",13,Revenue Code,1393,1396,4,A/N,NUBC Revenue Code
"101, 112, 123, 134, 145, 156,",,Type of Revenue Code,1397,1397,1,A/N,Revenue Type
"167, 178, 189, 200, 211, 222,",,Procedure Code; CPT-4/HCPC,1398,1402,5,A/N,CPT-4/HCPCS Code
"233, 244, 255, 266, 277, 288,",,Procedure Code Modifier 1,1403,1404,2,A/N,Code Modifier 1
"299, 310, 321, 332, 343, 354,",,Procedure Code Modifier 2,1405,1406,2,A/N,Code Modifier 2
"365, 376, 387, 398, 409, 420,",,Charge of Service,1407,1416,10,NUM,Total Charge 
"431, 442, 453, 464, 475, 486,",,Type of Unit,1417,1418,2,A/N,Unit Type
"497, 508, 519, 530, 541, 552,",,Quantity,1419,1426,8,NUM,Unit Quantity
"563, 574, 585, 596, 607, 618,",,Non-Covered Charge of Service,1427,1436,10,NUM,Non-covered Charge
"629, 640, 651, 662, 673, 684,",,Service From Date,1437,1442,6,A/N,Service From Date
"695, 706, 717, 728, 739, 750,",,Filler,1443,1444,2,A/N,
"761, 772, 783, 794, 805, 816,",,Pre-visit Procedure Indicator,1445,1445,1,A/N,"Indicates if Procedure occurred before, on, or after Date of Admission"
"827, 838, 849, 860, 871, 882,",R,Line item number,1446,1448,3,A/N,Line item number
"893, 904, 915, 926, 937, 948,",,Visit ID,1449,1451,3,A/N,Visit ID
"959, 970, 981, 992",,Lines in Visit,1452,1454,3,A/N,Lines in Visit
,,Visit Date,1455,1460,6,A/N,Visit Date
,,Filler,1461,1462,2,A/N,
,,Visit Processed Flag,1463,1463,1,A/N,Visit Processed Flag
,,Visit Processed Warnings/ Messages,1464,1473,10,A/N,Visit Processed Warnings/ Messages
,,Overall Visit Type,1474,1475,2,A/N,Overall Visit Type
,,Medical Visit Diagnosis,1476,1482,7,A/N,Medical Visit Diagnosis
,S,Final APG Assignment,1483,1487,5,A/N,Final APG Assignment
,,Final APG Type,1488,1489,2,A/N,Final APG Type
,,Final APG Category,1490,1491,2,A/N,Final APG Category
,,Multiple Significant Procedure (SP) Discounting Flag,1492,1492,1,A/N,Multiple Significant Procedure (SP) Discounting Flag
,,Repeat Ancillary Discounting Flag,1493,1493,1,A/N,Repeat Ancillary Discounting Flag
,,Bilateral Discounting Flag,1494,1494,1,A/N,Bilateral Discounting Flag
,,Terminated Procedure Discounting Flag,1495,1495,1,A/N,Terminated Procedure Discounting Flag
,,Line Item Unassigned Flag,1496,1497,2,A/N,Line Item Unassigned Flag
,,Packaged Per Diem Flag,1498,1498,1,A/N,Packaged Per Diem Flag
,,Packaging Flag,1499,1499,1,A/N,Packaging Flag
,,Same Significant Procedure (SP) Consolidation Flag,1500,1500,1,A/N,Same Significant Procedure (SP) Consolidation Flag
,,Clinical Significant Procedure (SP) Consolidation Flag,1501,1501,1,A/N,Clinical Significant Procedure (SP) Consolidation Flag
,,Line Item Action Flag,1502,1503,2,A/N,Line Item Action Flag
,Y,Item ID number,1504,1506,3,A/N,Item ID number
,,Line Item APG Payment,1507,1514,8,NUM,Line Item APG Payment
,,Line Item Existing Payment,1515,1522,8,NUM,Line Item Existing Payment
,,Line Item Blended Payment,1523,1530,8,NUM,Line Item Blended Payment
,,Line Item Add-on Payment,1531,1538,8,NUM,Line Item Add-on Payment
,,Line Item Total Payment,1539,1546,8,NUM,Line Item Total Payment
,,Line Item Blend Percent,1547,1551,5,NUM,Line Item Blend Percent
,,Line Item Adjusted APG Weight,1552,1560,9,NUM,Line Item Adjusted APG Weight
,,Line Item Full APG Weight,1561,1569,9,NUM,Line Item Full APG Weight
,,Line Item Payment Percent,1570,1575,6,NUM,Line Item Payment Percent
,,Line Item Payment Action,1576,1577,2,A/N,Line Item Payment Action
,,Line Item Paid Units,1578,1584,7,A/N,Line Item Paid Units
,,Line Item Payment Adjustment Flag,1585,1586,2,A/N,Line Item Payment Adjustment Flag
,,Visit APG Payment,1587,1594,8,NUM,Visit APG Payment
,,Visit Transition APG Payment,1595,1602,8,NUM,Visit Transition APG Payment
,,Visit Existing Payment,1603,1610,8,NUM,Visit Existing Payment
,,Visit Blended Payment,1611,1618,8,NUM,Visit Blended Payment
,,Visit Add-on Payment,1619,1626,8,NUM,Visit Add-on Payment
,,Visit Payment,1627,1634,8,NUM,Visit Payment
,,Visit Non-transition Payment,1635,1642,8,NUM,Visit Non-transition Payment
,,Visit Adjusted APG Weight,1643,1651,9,NUM,Visit Adjusted APG Weight
,,Visit Full APG Weight,1652,1660,9,NUM,Visit Full APG Weight
"14, 25, 36, 47, 58, 69, 80, 91,",14,Revenue Code,1661,1664,4,A/N,NUBC Revenue Code
"102, 113, 124, 135, 146, 157,",,Type of Revenue Code,1665,1665,1,A/N,Revenue Type
"168, 179, 190, 201, 212, 223,",,Procedure Code; CPT-4/HCPC,1666,1670,5,A/N,CPT-4/HCPCS Code
"234, 245, 256, 267, 278, 289,",,Procedure Code Modifier 1,1671,1672,2,A/N,Code Modifier 1
"300, 311, 322, 333, 344, 355,",,Procedure Code Modifier 2,1673,1674,2,A/N,Code Modifier 2
"366, 377, 388, 399, 410, 421,",,Charge of Service,1675,1684,10,NUM,Total Charge 
"432, 443, 454, 465, 476, 487,",,Type of Unit,1685,1686,2,A/N,Unit Type
"498, 509, 520, 531, 542, 553,",,Quantity,1687,1694,8,NUM,Unit Quantity
